,target
10366,neutral or dissatisfied
10367,neutral or dissatisfied
10368,neutral or dissatisfied
10369,satisfied
10370,neutral or dissatisfied
10371,neutral or dissatisfied
10372,satisfied
10373,neutral or dissatisfied
10374,neutral or dissatisfied
10375,neutral or dissatisfied
10376,satisfied
10377,satisfied
10378,neutral or dissatisfied
10379,satisfied
10380,neutral or dissatisfied
10381,satisfied
10382,neutral or dissatisfied
10383,neutral or dissatisfied
10384,satisfied
10385,neutral or dissatisfied
10386,satisfied
10387,neutral or dissatisfied
10388,satisfied
10389,neutral or dissatisfied
10390,neutral or dissatisfied
10391,satisfied
10392,neutral or dissatisfied
10393,neutral or dissatisfied
10394,neutral or dissatisfied
10395,neutral or dissatisfied
10396,neutral or dissatisfied
10397,satisfied
10398,neutral or dissatisfied
10399,satisfied
10400,neutral or dissatisfied
10401,neutral or dissatisfied
10402,satisfied
10403,satisfied
10404,satisfied
10405,neutral or dissatisfied
10406,neutral or dissatisfied
10407,satisfied
10408,neutral or dissatisfied
10409,satisfied
10410,satisfied
10411,neutral or dissatisfied
10412,neutral or dissatisfied
10413,satisfied
10414,satisfied
10415,satisfied
10416,satisfied
10417,neutral or dissatisfied
10418,satisfied
10419,satisfied
10420,neutral or dissatisfied
10421,neutral or dissatisfied
10422,satisfied
10423,neutral or dissatisfied
10424,satisfied
10425,neutral or dissatisfied
10426,satisfied
10427,satisfied
10428,satisfied
10429,neutral or dissatisfied
10430,neutral or dissatisfied
10431,neutral or dissatisfied
10432,satisfied
10433,neutral or dissatisfied
10434,satisfied
10435,neutral or dissatisfied
10436,satisfied
10437,neutral or dissatisfied
10438,satisfied
10439,neutral or dissatisfied
10440,satisfied
10441,neutral or dissatisfied
10442,satisfied
10443,neutral or dissatisfied
10444,neutral or dissatisfied
10445,satisfied
10446,neutral or dissatisfied
10447,neutral or dissatisfied
10448,satisfied
10449,satisfied
10450,satisfied
10451,neutral or dissatisfied
10452,satisfied
10453,satisfied
10454,neutral or dissatisfied
10455,satisfied
10456,satisfied
10457,satisfied
10458,satisfied
10459,satisfied
10460,neutral or dissatisfied
10461,neutral or dissatisfied
10462,neutral or dissatisfied
10463,satisfied
10464,satisfied
10465,satisfied
10466,satisfied
10467,neutral or dissatisfied
10468,satisfied
10469,neutral or dissatisfied
10470,satisfied
10471,neutral or dissatisfied
10472,neutral or dissatisfied
10473,neutral or dissatisfied
10474,neutral or dissatisfied
10475,satisfied
10476,neutral or dissatisfied
10477,satisfied
10478,neutral or dissatisfied
10479,satisfied
10480,neutral or dissatisfied
10481,satisfied
10482,neutral or dissatisfied
10483,neutral or dissatisfied
10484,neutral or dissatisfied
10485,neutral or dissatisfied
10486,neutral or dissatisfied
10487,satisfied
10488,neutral or dissatisfied
10489,neutral or dissatisfied
10490,satisfied
10491,satisfied
10492,neutral or dissatisfied
10493,neutral or dissatisfied
10494,neutral or dissatisfied
10495,satisfied
10496,neutral or dissatisfied
10497,neutral or dissatisfied
10498,satisfied
10499,satisfied
10500,satisfied
10501,satisfied
10502,neutral or dissatisfied
10503,neutral or dissatisfied
10504,neutral or dissatisfied
10505,neutral or dissatisfied
10506,neutral or dissatisfied
10507,satisfied
10508,neutral or dissatisfied
10509,neutral or dissatisfied
10510,neutral or dissatisfied
10511,neutral or dissatisfied
10512,satisfied
10513,satisfied
10514,neutral or dissatisfied
10515,satisfied
10516,neutral or dissatisfied
10517,neutral or dissatisfied
10518,neutral or dissatisfied
10519,satisfied
10520,neutral or dissatisfied
10521,neutral or dissatisfied
10522,satisfied
10523,satisfied
10524,satisfied
10525,neutral or dissatisfied
10526,neutral or dissatisfied
10527,neutral or dissatisfied
10528,neutral or dissatisfied
10529,neutral or dissatisfied
10530,neutral or dissatisfied
10531,satisfied
10532,satisfied
10533,neutral or dissatisfied
10534,neutral or dissatisfied
10535,neutral or dissatisfied
10536,satisfied
10537,neutral or dissatisfied
10538,satisfied
10539,satisfied
10540,satisfied
10541,satisfied
10542,neutral or dissatisfied
10543,neutral or dissatisfied
10544,neutral or dissatisfied
10545,satisfied
10546,satisfied
10547,neutral or dissatisfied
10548,neutral or dissatisfied
10549,neutral or dissatisfied
10550,satisfied
10551,satisfied
10552,neutral or dissatisfied
10553,neutral or dissatisfied
10554,satisfied
10555,satisfied
10556,satisfied
10557,neutral or dissatisfied
10558,satisfied
10559,satisfied
10560,satisfied
10561,satisfied
10562,neutral or dissatisfied
10563,neutral or dissatisfied
10564,neutral or dissatisfied
10565,satisfied
10566,neutral or dissatisfied
10567,satisfied
10568,neutral or dissatisfied
10569,neutral or dissatisfied
10570,neutral or dissatisfied
10571,satisfied
10572,neutral or dissatisfied
10573,neutral or dissatisfied
10574,satisfied
10575,neutral or dissatisfied
10576,neutral or dissatisfied
10577,neutral or dissatisfied
10578,satisfied
10579,satisfied
10580,neutral or dissatisfied
10581,satisfied
10582,satisfied
10583,satisfied
10584,neutral or dissatisfied
10585,satisfied
10586,neutral or dissatisfied
10587,neutral or dissatisfied
10588,satisfied
10589,neutral or dissatisfied
10590,neutral or dissatisfied
10591,neutral or dissatisfied
10592,neutral or dissatisfied
10593,satisfied
10594,neutral or dissatisfied
10595,satisfied
10596,neutral or dissatisfied
10597,satisfied
10598,satisfied
10599,neutral or dissatisfied
10600,neutral or dissatisfied
10601,neutral or dissatisfied
10602,neutral or dissatisfied
10603,satisfied
10604,satisfied
10605,satisfied
10606,neutral or dissatisfied
10607,neutral or dissatisfied
10608,satisfied
10609,satisfied
10610,satisfied
10611,satisfied
10612,neutral or dissatisfied
10613,neutral or dissatisfied
10614,neutral or dissatisfied
10615,neutral or dissatisfied
10616,neutral or dissatisfied
10617,neutral or dissatisfied
10618,neutral or dissatisfied
10619,neutral or dissatisfied
10620,neutral or dissatisfied
10621,satisfied
10622,satisfied
10623,satisfied
10624,satisfied
10625,neutral or dissatisfied
10626,neutral or dissatisfied
10627,neutral or dissatisfied
10628,neutral or dissatisfied
10629,satisfied
10630,satisfied
10631,neutral or dissatisfied
10632,satisfied
10633,satisfied
10634,neutral or dissatisfied
10635,satisfied
10636,satisfied
10637,neutral or dissatisfied
10638,satisfied
10639,neutral or dissatisfied
10640,neutral or dissatisfied
10641,neutral or dissatisfied
10642,satisfied
10643,satisfied
10644,neutral or dissatisfied
10645,neutral or dissatisfied
10646,neutral or dissatisfied
10647,satisfied
10648,satisfied
10649,neutral or dissatisfied
10650,satisfied
10651,satisfied
10652,satisfied
10653,neutral or dissatisfied
10654,satisfied
10655,satisfied
10656,satisfied
10657,satisfied
10658,neutral or dissatisfied
10659,satisfied
10660,neutral or dissatisfied
10661,satisfied
10662,satisfied
10663,neutral or dissatisfied
10664,neutral or dissatisfied
10665,satisfied
10666,satisfied
10667,satisfied
10668,neutral or dissatisfied
10669,satisfied
10670,neutral or dissatisfied
10671,neutral or dissatisfied
10672,satisfied
10673,neutral or dissatisfied
10674,neutral or dissatisfied
10675,neutral or dissatisfied
10676,neutral or dissatisfied
10677,satisfied
10678,satisfied
10679,satisfied
10680,neutral or dissatisfied
10681,neutral or dissatisfied
10682,neutral or dissatisfied
10683,neutral or dissatisfied
10684,satisfied
10685,neutral or dissatisfied
10686,neutral or dissatisfied
10687,neutral or dissatisfied
10688,satisfied
10689,neutral or dissatisfied
10690,neutral or dissatisfied
10691,satisfied
10692,neutral or dissatisfied
10693,neutral or dissatisfied
10694,neutral or dissatisfied
10695,neutral or dissatisfied
10696,neutral or dissatisfied
10697,neutral or dissatisfied
10698,neutral or dissatisfied
10699,satisfied
10700,neutral or dissatisfied
10701,neutral or dissatisfied
10702,neutral or dissatisfied
10703,satisfied
10704,neutral or dissatisfied
10705,neutral or dissatisfied
10706,neutral or dissatisfied
10707,satisfied
10708,neutral or dissatisfied
10709,satisfied
10710,satisfied
10711,neutral or dissatisfied
10712,neutral or dissatisfied
10713,neutral or dissatisfied
10714,satisfied
10715,neutral or dissatisfied
10716,satisfied
10717,satisfied
10718,neutral or dissatisfied
10719,satisfied
10720,satisfied
10721,neutral or dissatisfied
10722,satisfied
10723,neutral or dissatisfied
10724,neutral or dissatisfied
10725,neutral or dissatisfied
10726,satisfied
10727,neutral or dissatisfied
10728,satisfied
10729,neutral or dissatisfied
10730,satisfied
10731,neutral or dissatisfied
10732,satisfied
10733,satisfied
10734,neutral or dissatisfied
10735,neutral or dissatisfied
10736,neutral or dissatisfied
10737,satisfied
10738,neutral or dissatisfied
10739,neutral or dissatisfied
10740,satisfied
10741,satisfied
10742,neutral or dissatisfied
10743,satisfied
10744,neutral or dissatisfied
10745,satisfied
10746,satisfied
10747,neutral or dissatisfied
10748,neutral or dissatisfied
10749,neutral or dissatisfied
10750,satisfied
10751,satisfied
10752,neutral or dissatisfied
10753,neutral or dissatisfied
10754,satisfied
10755,satisfied
10756,satisfied
10757,neutral or dissatisfied
10758,neutral or dissatisfied
10759,neutral or dissatisfied
10760,neutral or dissatisfied
10761,satisfied
10762,neutral or dissatisfied
10763,neutral or dissatisfied
10764,neutral or dissatisfied
10765,satisfied
10766,satisfied
10767,satisfied
10768,neutral or dissatisfied
10769,neutral or dissatisfied
10770,satisfied
10771,satisfied
10772,neutral or dissatisfied
10773,satisfied
10774,satisfied
10775,neutral or dissatisfied
10776,satisfied
10777,neutral or dissatisfied
10778,neutral or dissatisfied
10779,neutral or dissatisfied
10780,neutral or dissatisfied
10781,satisfied
10782,satisfied
10783,neutral or dissatisfied
10784,satisfied
10785,satisfied
10786,satisfied
10787,neutral or dissatisfied
10788,satisfied
10789,satisfied
10790,satisfied
10791,neutral or dissatisfied
10792,neutral or dissatisfied
10793,satisfied
10794,satisfied
10795,satisfied
10796,satisfied
10797,neutral or dissatisfied
10798,neutral or dissatisfied
10799,satisfied
10800,neutral or dissatisfied
10801,neutral or dissatisfied
10802,neutral or dissatisfied
10803,neutral or dissatisfied
10804,satisfied
10805,neutral or dissatisfied
10806,satisfied
10807,neutral or dissatisfied
10808,neutral or dissatisfied
10809,neutral or dissatisfied
10810,satisfied
10811,neutral or dissatisfied
10812,neutral or dissatisfied
10813,satisfied
10814,neutral or dissatisfied
10815,neutral or dissatisfied
10816,satisfied
10817,neutral or dissatisfied
10818,satisfied
10819,satisfied
10820,neutral or dissatisfied
10821,neutral or dissatisfied
10822,satisfied
10823,neutral or dissatisfied
10824,neutral or dissatisfied
10825,neutral or dissatisfied
10826,satisfied
10827,satisfied
10828,satisfied
10829,satisfied
10830,satisfied
10831,satisfied
10832,neutral or dissatisfied
10833,satisfied
10834,satisfied
10835,satisfied
10836,neutral or dissatisfied
10837,satisfied
10838,satisfied
10839,neutral or dissatisfied
10840,neutral or dissatisfied
10841,neutral or dissatisfied
10842,neutral or dissatisfied
10843,satisfied
10844,neutral or dissatisfied
10845,satisfied
10846,neutral or dissatisfied
10847,neutral or dissatisfied
10848,neutral or dissatisfied
10849,neutral or dissatisfied
10850,satisfied
10851,neutral or dissatisfied
10852,neutral or dissatisfied
10853,satisfied
10854,satisfied
10855,satisfied
10856,neutral or dissatisfied
10857,satisfied
10858,satisfied
10859,satisfied
10860,neutral or dissatisfied
10861,neutral or dissatisfied
10862,neutral or dissatisfied
10863,neutral or dissatisfied
10864,satisfied
10865,neutral or dissatisfied
10866,satisfied
10867,neutral or dissatisfied
10868,satisfied
10869,neutral or dissatisfied
10870,neutral or dissatisfied
10871,satisfied
10872,satisfied
10873,satisfied
10874,neutral or dissatisfied
10875,satisfied
10876,neutral or dissatisfied
10877,satisfied
10878,neutral or dissatisfied
10879,neutral or dissatisfied
10880,satisfied
10881,neutral or dissatisfied
10882,neutral or dissatisfied
10883,neutral or dissatisfied
10884,neutral or dissatisfied
10885,neutral or dissatisfied
10886,satisfied
10887,satisfied
10888,neutral or dissatisfied
10889,neutral or dissatisfied
10890,satisfied
10891,satisfied
10892,neutral or dissatisfied
10893,satisfied
10894,neutral or dissatisfied
10895,satisfied
10896,neutral or dissatisfied
10897,satisfied
10898,neutral or dissatisfied
10899,satisfied
10900,neutral or dissatisfied
10901,satisfied
10902,neutral or dissatisfied
10903,neutral or dissatisfied
10904,neutral or dissatisfied
10905,satisfied
10906,neutral or dissatisfied
10907,neutral or dissatisfied
10908,satisfied
10909,satisfied
10910,neutral or dissatisfied
10911,neutral or dissatisfied
10912,satisfied
10913,satisfied
10914,satisfied
10915,satisfied
10916,satisfied
10917,neutral or dissatisfied
10918,satisfied
10919,neutral or dissatisfied
10920,satisfied
10921,neutral or dissatisfied
10922,neutral or dissatisfied
10923,satisfied
10924,satisfied
10925,neutral or dissatisfied
10926,satisfied
10927,satisfied
10928,satisfied
10929,satisfied
10930,satisfied
10931,neutral or dissatisfied
10932,neutral or dissatisfied
10933,satisfied
10934,satisfied
10935,neutral or dissatisfied
10936,satisfied
10937,neutral or dissatisfied
10938,satisfied
10939,neutral or dissatisfied
10940,neutral or dissatisfied
10941,neutral or dissatisfied
10942,neutral or dissatisfied
10943,neutral or dissatisfied
10944,satisfied
10945,satisfied
10946,neutral or dissatisfied
10947,neutral or dissatisfied
10948,neutral or dissatisfied
10949,satisfied
10950,satisfied
10951,satisfied
10952,neutral or dissatisfied
10953,satisfied
10954,neutral or dissatisfied
10955,satisfied
10956,neutral or dissatisfied
10957,satisfied
10958,neutral or dissatisfied
10959,neutral or dissatisfied
10960,satisfied
10961,neutral or dissatisfied
10962,satisfied
10963,neutral or dissatisfied
10964,neutral or dissatisfied
10965,satisfied
10966,satisfied
10967,neutral or dissatisfied
10968,neutral or dissatisfied
10969,satisfied
10970,neutral or dissatisfied
10971,neutral or dissatisfied
10972,neutral or dissatisfied
10973,satisfied
10974,neutral or dissatisfied
10975,neutral or dissatisfied
10976,satisfied
10977,neutral or dissatisfied
10978,neutral or dissatisfied
10979,neutral or dissatisfied
10980,neutral or dissatisfied
10981,neutral or dissatisfied
10982,satisfied
10983,neutral or dissatisfied
10984,neutral or dissatisfied
10985,satisfied
10986,neutral or dissatisfied
10987,neutral or dissatisfied
10988,satisfied
10989,neutral or dissatisfied
10990,neutral or dissatisfied
10991,neutral or dissatisfied
10992,satisfied
10993,neutral or dissatisfied
10994,neutral or dissatisfied
10995,satisfied
10996,satisfied
10997,satisfied
10998,satisfied
10999,neutral or dissatisfied
11000,neutral or dissatisfied
11001,satisfied
11002,satisfied
11003,neutral or dissatisfied
11004,neutral or dissatisfied
11005,neutral or dissatisfied
11006,neutral or dissatisfied
11007,satisfied
11008,neutral or dissatisfied
11009,satisfied
11010,neutral or dissatisfied
11011,neutral or dissatisfied
11012,satisfied
11013,neutral or dissatisfied
11014,satisfied
11015,neutral or dissatisfied
11016,neutral or dissatisfied
11017,satisfied
11018,satisfied
11019,neutral or dissatisfied
11020,satisfied
11021,satisfied
11022,satisfied
11023,neutral or dissatisfied
11024,neutral or dissatisfied
11025,satisfied
11026,neutral or dissatisfied
11027,satisfied
11028,neutral or dissatisfied
11029,neutral or dissatisfied
11030,satisfied
11031,neutral or dissatisfied
11032,satisfied
11033,neutral or dissatisfied
11034,satisfied
11035,neutral or dissatisfied
11036,satisfied
11037,satisfied
11038,neutral or dissatisfied
11039,neutral or dissatisfied
11040,neutral or dissatisfied
11041,satisfied
11042,neutral or dissatisfied
11043,neutral or dissatisfied
11044,satisfied
11045,satisfied
11046,satisfied
11047,neutral or dissatisfied
11048,neutral or dissatisfied
11049,satisfied
11050,satisfied
11051,neutral or dissatisfied
11052,neutral or dissatisfied
11053,satisfied
11054,neutral or dissatisfied
11055,satisfied
11056,satisfied
11057,neutral or dissatisfied
11058,neutral or dissatisfied
11059,satisfied
11060,neutral or dissatisfied
11061,neutral or dissatisfied
11062,satisfied
11063,satisfied
11064,neutral or dissatisfied
11065,neutral or dissatisfied
11066,neutral or dissatisfied
11067,neutral or dissatisfied
11068,satisfied
11069,satisfied
11070,neutral or dissatisfied
11071,neutral or dissatisfied
11072,satisfied
11073,neutral or dissatisfied
11074,neutral or dissatisfied
11075,neutral or dissatisfied
11076,satisfied
11077,neutral or dissatisfied
11078,neutral or dissatisfied
11079,satisfied
11080,neutral or dissatisfied
11081,neutral or dissatisfied
11082,satisfied
11083,satisfied
11084,neutral or dissatisfied
11085,neutral or dissatisfied
11086,satisfied
11087,neutral or dissatisfied
11088,neutral or dissatisfied
11089,satisfied
11090,satisfied
11091,neutral or dissatisfied
11092,neutral or dissatisfied
11093,neutral or dissatisfied
11094,neutral or dissatisfied
11095,neutral or dissatisfied
11096,neutral or dissatisfied
11097,neutral or dissatisfied
11098,neutral or dissatisfied
11099,satisfied
11100,satisfied
11101,neutral or dissatisfied
11102,satisfied
11103,neutral or dissatisfied
11104,neutral or dissatisfied
11105,satisfied
11106,satisfied
11107,satisfied
11108,neutral or dissatisfied
11109,neutral or dissatisfied
11110,neutral or dissatisfied
11111,neutral or dissatisfied
11112,satisfied
11113,neutral or dissatisfied
11114,neutral or dissatisfied
11115,satisfied
11116,neutral or dissatisfied
11117,satisfied
11118,satisfied
11119,satisfied
11120,neutral or dissatisfied
11121,satisfied
11122,neutral or dissatisfied
11123,satisfied
11124,neutral or dissatisfied
11125,satisfied
11126,satisfied
11127,neutral or dissatisfied
11128,neutral or dissatisfied
11129,neutral or dissatisfied
11130,satisfied
11131,neutral or dissatisfied
11132,neutral or dissatisfied
11133,satisfied
11134,neutral or dissatisfied
11135,neutral or dissatisfied
11136,neutral or dissatisfied
11137,satisfied
11138,neutral or dissatisfied
11139,neutral or dissatisfied
11140,neutral or dissatisfied
11141,satisfied
11142,satisfied
11143,satisfied
11144,neutral or dissatisfied
11145,neutral or dissatisfied
11146,satisfied
11147,neutral or dissatisfied
11148,satisfied
11149,satisfied
11150,neutral or dissatisfied
11151,neutral or dissatisfied
11152,neutral or dissatisfied
11153,satisfied
11154,satisfied
11155,neutral or dissatisfied
11156,satisfied
11157,neutral or dissatisfied
11158,neutral or dissatisfied
11159,satisfied
11160,neutral or dissatisfied
11161,satisfied
11162,neutral or dissatisfied
11163,satisfied
11164,neutral or dissatisfied
11165,satisfied
11166,satisfied
11167,satisfied
11168,neutral or dissatisfied
11169,neutral or dissatisfied
11170,satisfied
11171,neutral or dissatisfied
11172,satisfied
11173,satisfied
11174,neutral or dissatisfied
11175,neutral or dissatisfied
11176,neutral or dissatisfied
11177,neutral or dissatisfied
11178,satisfied
11179,satisfied
11180,neutral or dissatisfied
11181,satisfied
11182,satisfied
11183,satisfied
11184,satisfied
11185,neutral or dissatisfied
11186,satisfied
11187,satisfied
11188,neutral or dissatisfied
11189,satisfied
11190,satisfied
11191,neutral or dissatisfied
11192,neutral or dissatisfied
11193,satisfied
11194,satisfied
11195,neutral or dissatisfied
11196,neutral or dissatisfied
11197,satisfied
11198,satisfied
11199,neutral or dissatisfied
11200,neutral or dissatisfied
11201,neutral or dissatisfied
11202,satisfied
11203,satisfied
11204,satisfied
11205,neutral or dissatisfied
11206,neutral or dissatisfied
11207,neutral or dissatisfied
11208,neutral or dissatisfied
11209,neutral or dissatisfied
11210,satisfied
11211,satisfied
11212,neutral or dissatisfied
11213,neutral or dissatisfied
11214,neutral or dissatisfied
11215,neutral or dissatisfied
11216,neutral or dissatisfied
11217,neutral or dissatisfied
11218,neutral or dissatisfied
11219,neutral or dissatisfied
11220,satisfied
11221,satisfied
11222,satisfied
11223,satisfied
11224,satisfied
11225,satisfied
11226,satisfied
11227,neutral or dissatisfied
11228,neutral or dissatisfied
11229,neutral or dissatisfied
11230,satisfied
11231,neutral or dissatisfied
11232,satisfied
11233,neutral or dissatisfied
11234,neutral or dissatisfied
11235,neutral or dissatisfied
11236,neutral or dissatisfied
11237,satisfied
11238,neutral or dissatisfied
11239,neutral or dissatisfied
11240,neutral or dissatisfied
11241,satisfied
11242,satisfied
11243,neutral or dissatisfied
11244,neutral or dissatisfied
11245,satisfied
11246,satisfied
11247,satisfied
11248,satisfied
11249,neutral or dissatisfied
11250,neutral or dissatisfied
11251,neutral or dissatisfied
11252,neutral or dissatisfied
11253,neutral or dissatisfied
11254,satisfied
11255,neutral or dissatisfied
11256,neutral or dissatisfied
11257,satisfied
11258,neutral or dissatisfied
11259,neutral or dissatisfied
11260,neutral or dissatisfied
11261,neutral or dissatisfied
11262,satisfied
11263,neutral or dissatisfied
11264,satisfied
11265,neutral or dissatisfied
11266,neutral or dissatisfied
11267,satisfied
11268,satisfied
11269,neutral or dissatisfied
11270,neutral or dissatisfied
11271,neutral or dissatisfied
11272,neutral or dissatisfied
11273,satisfied
11274,neutral or dissatisfied
11275,satisfied
11276,satisfied
11277,satisfied
11278,neutral or dissatisfied
11279,satisfied
11280,neutral or dissatisfied
11281,satisfied
11282,neutral or dissatisfied
11283,satisfied
11284,satisfied
11285,satisfied
11286,satisfied
11287,neutral or dissatisfied
11288,neutral or dissatisfied
11289,satisfied
11290,satisfied
11291,neutral or dissatisfied
11292,neutral or dissatisfied
11293,satisfied
11294,neutral or dissatisfied
11295,neutral or dissatisfied
11296,satisfied
11297,neutral or dissatisfied
11298,satisfied
11299,neutral or dissatisfied
11300,satisfied
11301,satisfied
11302,neutral or dissatisfied
11303,satisfied
11304,satisfied
11305,neutral or dissatisfied
11306,neutral or dissatisfied
11307,neutral or dissatisfied
11308,neutral or dissatisfied
11309,satisfied
11310,satisfied
11311,satisfied
11312,satisfied
11313,satisfied
11314,neutral or dissatisfied
11315,satisfied
11316,satisfied
11317,neutral or dissatisfied
11318,neutral or dissatisfied
11319,neutral or dissatisfied
11320,satisfied
11321,neutral or dissatisfied
11322,neutral or dissatisfied
11323,satisfied
11324,satisfied
11325,satisfied
11326,satisfied
11327,neutral or dissatisfied
11328,neutral or dissatisfied
11329,satisfied
11330,neutral or dissatisfied
11331,neutral or dissatisfied
11332,neutral or dissatisfied
11333,neutral or dissatisfied
11334,neutral or dissatisfied
11335,neutral or dissatisfied
11336,neutral or dissatisfied
11337,neutral or dissatisfied
11338,satisfied
11339,neutral or dissatisfied
11340,neutral or dissatisfied
11341,satisfied
11342,neutral or dissatisfied
11343,neutral or dissatisfied
11344,neutral or dissatisfied
11345,satisfied
11346,neutral or dissatisfied
11347,neutral or dissatisfied
11348,satisfied
11349,satisfied
11350,neutral or dissatisfied
11351,neutral or dissatisfied
11352,neutral or dissatisfied
11353,satisfied
11354,neutral or dissatisfied
11355,neutral or dissatisfied
11356,satisfied
11357,satisfied
11358,satisfied
11359,satisfied
11360,satisfied
11361,neutral or dissatisfied
11362,satisfied
11363,satisfied
11364,neutral or dissatisfied
11365,neutral or dissatisfied
11366,satisfied
11367,neutral or dissatisfied
11368,satisfied
11369,neutral or dissatisfied
11370,neutral or dissatisfied
11371,neutral or dissatisfied
11372,neutral or dissatisfied
11373,satisfied
11374,satisfied
11375,neutral or dissatisfied
11376,satisfied
11377,satisfied
11378,neutral or dissatisfied
11379,satisfied
11380,neutral or dissatisfied
11381,satisfied
11382,neutral or dissatisfied
11383,satisfied
11384,neutral or dissatisfied
11385,neutral or dissatisfied
11386,neutral or dissatisfied
11387,neutral or dissatisfied
11388,satisfied
11389,satisfied
11390,satisfied
11391,neutral or dissatisfied
11392,satisfied
11393,neutral or dissatisfied
11394,satisfied
11395,neutral or dissatisfied
11396,satisfied
11397,satisfied
11398,neutral or dissatisfied
11399,neutral or dissatisfied
11400,neutral or dissatisfied
11401,neutral or dissatisfied
11402,neutral or dissatisfied
11403,satisfied
11404,neutral or dissatisfied
11405,neutral or dissatisfied
11406,neutral or dissatisfied
11407,satisfied
11408,satisfied
11409,neutral or dissatisfied
11410,neutral or dissatisfied
11411,neutral or dissatisfied
11412,neutral or dissatisfied
11413,neutral or dissatisfied
11414,neutral or dissatisfied
11415,neutral or dissatisfied
11416,satisfied
11417,satisfied
11418,satisfied
11419,satisfied
11420,neutral or dissatisfied
11421,neutral or dissatisfied
11422,satisfied
11423,neutral or dissatisfied
11424,satisfied
11425,neutral or dissatisfied
11426,satisfied
11427,satisfied
11428,satisfied
11429,neutral or dissatisfied
11430,satisfied
11431,neutral or dissatisfied
11432,neutral or dissatisfied
11433,neutral or dissatisfied
11434,satisfied
11435,neutral or dissatisfied
11436,neutral or dissatisfied
11437,neutral or dissatisfied
11438,neutral or dissatisfied
11439,satisfied
11440,neutral or dissatisfied
11441,satisfied
11442,neutral or dissatisfied
11443,satisfied
11444,neutral or dissatisfied
11445,satisfied
11446,neutral or dissatisfied
11447,neutral or dissatisfied
11448,satisfied
11449,satisfied
11450,neutral or dissatisfied
11451,neutral or dissatisfied
11452,neutral or dissatisfied
11453,satisfied
11454,neutral or dissatisfied
11455,satisfied
11456,neutral or dissatisfied
11457,neutral or dissatisfied
11458,satisfied
11459,neutral or dissatisfied
11460,satisfied
11461,satisfied
11462,neutral or dissatisfied
11463,satisfied
11464,neutral or dissatisfied
11465,satisfied
11466,neutral or dissatisfied
11467,neutral or dissatisfied
11468,neutral or dissatisfied
11469,satisfied
11470,satisfied
11471,satisfied
11472,neutral or dissatisfied
11473,neutral or dissatisfied
11474,neutral or dissatisfied
11475,satisfied
11476,satisfied
11477,satisfied
11478,neutral or dissatisfied
11479,satisfied
11480,neutral or dissatisfied
11481,satisfied
11482,neutral or dissatisfied
11483,satisfied
11484,satisfied
11485,neutral or dissatisfied
11486,satisfied
11487,neutral or dissatisfied
11488,satisfied
11489,satisfied
11490,neutral or dissatisfied
11491,neutral or dissatisfied
11492,neutral or dissatisfied
11493,neutral or dissatisfied
11494,neutral or dissatisfied
11495,satisfied
11496,neutral or dissatisfied
11497,neutral or dissatisfied
11498,satisfied
11499,satisfied
11500,neutral or dissatisfied
11501,satisfied
11502,neutral or dissatisfied
11503,satisfied
11504,neutral or dissatisfied
11505,satisfied
11506,neutral or dissatisfied
11507,satisfied
11508,satisfied
11509,neutral or dissatisfied
11510,neutral or dissatisfied
11511,satisfied
11512,neutral or dissatisfied
11513,neutral or dissatisfied
11514,neutral or dissatisfied
11515,neutral or dissatisfied
11516,neutral or dissatisfied
11517,satisfied
11518,satisfied
11519,neutral or dissatisfied
11520,neutral or dissatisfied
11521,satisfied
11522,neutral or dissatisfied
11523,satisfied
11524,satisfied
11525,satisfied
11526,neutral or dissatisfied
11527,satisfied
11528,satisfied
11529,satisfied
11530,satisfied
11531,satisfied
11532,neutral or dissatisfied
11533,neutral or dissatisfied
11534,neutral or dissatisfied
11535,satisfied
11536,satisfied
11537,neutral or dissatisfied
11538,neutral or dissatisfied
11539,satisfied
11540,satisfied
11541,neutral or dissatisfied
11542,neutral or dissatisfied
11543,neutral or dissatisfied
11544,satisfied
11545,neutral or dissatisfied
11546,neutral or dissatisfied
11547,neutral or dissatisfied
11548,neutral or dissatisfied
11549,neutral or dissatisfied
11550,satisfied
11551,neutral or dissatisfied
11552,neutral or dissatisfied
11553,satisfied
11554,neutral or dissatisfied
11555,satisfied
11556,neutral or dissatisfied
11557,neutral or dissatisfied
11558,neutral or dissatisfied
11559,satisfied
11560,neutral or dissatisfied
11561,neutral or dissatisfied
11562,neutral or dissatisfied
11563,satisfied
11564,neutral or dissatisfied
11565,neutral or dissatisfied
11566,neutral or dissatisfied
11567,neutral or dissatisfied
11568,satisfied
11569,satisfied
11570,satisfied
11571,satisfied
11572,satisfied
11573,neutral or dissatisfied
11574,neutral or dissatisfied
11575,satisfied
11576,neutral or dissatisfied
11577,neutral or dissatisfied
11578,satisfied
11579,neutral or dissatisfied
11580,neutral or dissatisfied
11581,satisfied
11582,satisfied
11583,satisfied
11584,neutral or dissatisfied
11585,satisfied
11586,satisfied
11587,satisfied
11588,neutral or dissatisfied
11589,neutral or dissatisfied
11590,neutral or dissatisfied
11591,neutral or dissatisfied
11592,neutral or dissatisfied
11593,satisfied
11594,neutral or dissatisfied
11595,satisfied
11596,satisfied
11597,neutral or dissatisfied
11598,satisfied
11599,satisfied
11600,neutral or dissatisfied
11601,satisfied
11602,neutral or dissatisfied
